,Unnamed: 0,Unnamed: 0.1,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
146,146,146,5-June-2020,349.9,360.0,347.1,357.25,353.05195782567716,1199877,15337,423618924.0,220414,18.37,12.9,7.35
147,147,147,4-June-2020,355.4,363.0,345.45,347.85,353.4841441429637,1831626,25974,647450749.0,466483,25.47,17.55,-7.55
148,148,148,3-June-2020,356.3,372.95,353.7,356.65,363.55286523053775,2132167,29706,775155422.0,413000,19.37,19.25,0.35
149,149,149,2-June-2020,337.1,350.0,332.45,348.5,342.8852556727611,1659289,19292,568945733.0,350059,21.1,17.55,11.4
150,150,150,1-June-2020,338.2,348.0,336.35,339.0,342.95507212610266,1691066,22461,579959662.0,417619,24.7,11.65,0.8
151,151,151,29-May-2020,323.05,334.2,320.0,332.1,325.1908919687495,3607234,21787,1173039642.0,400945,11.12,14.2,9.05
152,152,152,28-May-2020,322.9,329.7,321.0,326.75,325.9078797821444,1827449,22104,595580029.0,350600,19.19,8.7,3.85
153,153,153,27-May-2020,295.85,321.8,295.05,318.8,310.3704246634706,2369853,31915,735532282.0,632438,26.69,26.75,22.95
154,154,154,26-May-2020,295.4,297.8,290.0,292.55,293.63646524642553,1162197,22930,341263419.0,386659,33.27,7.8,-2.85
155,155,155,22-May-2020,301.35,307.5,285.7,291.2,292.93276097875383,2544460,34605,745355693.0,697181,27.4,21.8,-10.15
156,156,156,21-May-2020,306.8,312.8,302.1,304.35,308.2803275748974,1304984,19000,402300895.0,351845,26.96,10.7,-2.45
157,157,157,20-May-2020,298.0,308.15,298.0,306.1,302.9384078246623,1383114,30589,418998353.0,399146,28.86,10.15,8.1
158,158,158,19-May-2020,305.5,311.7,297.15,300.4,303.67999904104545,1835332,29857,557353620.0,479765,26.14,14.55,-5.1
159,159,159,18-May-2020,320.9,320.9,293.5,298.65,301.17011140163964,2359301,40671,710550945.0,817359,34.64,27.4,-22.25
160,160,160,15-May-2020,329.7,330.45,318.8,322.65,321.68904975906054,911432,13508,293197694.0,184377,20.23,11.65,-7.05
161,161,161,14-May-2020,331.0,334.4,325.75,327.45,328.60162707889083,1384813,16966,455051805.0,321321,23.2,8.65,-3.55
162,162,162,13-May-2020,344.4,348.4,332.4,337.6,341.21037932561563,2881324,34372,983137655.0,886329,30.76,16.0,-6.8
163,163,163,12-May-2020,319.85,324.5,308.15,321.4,314.93227130177917,2139610,32025,673832237.0,414680,19.38,16.35,1.55
164,164,164,11-May-2020,344.9,344.9,318.15,320.1,328.4287864373477,3216480,47120,1056384623.0,1129432,35.11,26.75,-24.8
165,165,165,8-May-2020,344.0,352.5,333.75,337.75,346.449947830908,1558394,18566,539905520.0,593687,38.1,18.75,-6.25
166,166,166,7-May-2020,337.95,342.85,334.1,336.75,338.3346410684473,742760,10625,251301438.0,132263,17.81,8.75,-1.2
167,167,167,6-May-2020,330.0,345.4,325.3,341.4,338.50788603652444,1305155,20080,441805260.0,201539,15.44,20.1,11.4
168,168,168,5-May-2020,348.0,348.3,329.65,330.85,339.34454660468015,2240054,26060,760150109.0,1039435,46.4,18.65,-17.15
